Variable;Tipo
CONT_RUT;int64
CONT_DV;object
campo_93;float64
campo_57;float64
campo_61;float64
campo_85;float64
campo_94;float64
campo_4;object
campo_1;object
campo_83;float64
campo_86;float64
campo_10;object
campo_51;object
campo_69;float64
campo_37;float64
campo_36;object
campo_53;object
campo_58;float64
campo_11;object
campo_20;object
campo_70;float64
campo_8;object
campo_78;float64
campo_39;float64
campo_46;object
campo_7;object
campo_23;float64
campo_100;float64
campo_6;object
campo_26;float64
campo_38;object
campo_52;object
campo_35;float64
campo_3;object
campo_13;object
campo_101;float64
campo_74;float64
campo_75;float64
campo_87;float64
campo_71;float64
campo_95;float64
campo_92;float64
campo_64;object
campo_81;float64
campo_22;float64
campo_62;float64
campo_9;object
campo_34;object
campo_60;float64
campo_2;object
campo_80;float64
campo_68;float64
campo_12;object
campo_77;float64
campo_91;float64
campo_76;float64
campo_72;float64
campo_97;object
campo_73;float64
campo_79;float64
campo_84;float64
campo_104;float64
campo_60_cat;object
Presenta_union;object
